Year,UNIT_MEASURE,Administrativna oblast,Spol,Nationality,Value
2013,Broj,ISTOCNA ILIDZA,Oba spola,croats,148
2013,Broj,ISTOCNA ILIDZA,M,croats,39
2013,Broj,ISTOCNA ILIDZA,Ž,croats,109
2013,Broj,ISTOCNI DRVAR,Oba spola,croats,1
2013,Broj,ISTOCNI DRVAR,Ž,croats,1
2013,Broj,ISTOCNI MOSTAR,Oba spola,croats,11
2013,Broj,ISTOCNI MOSTAR,M,croats,8
2013,Broj,ISTOCNI MOSTAR,Ž,croats,3
2013,Broj,ISTOCNI STARI GRAD,Oba spola,croats,6
2013,Broj,ISTOCNI STARI GRAD,M,croats,2
2013,Broj,ISTOCNI STARI GRAD,Ž,croats,4
2013,Broj,ISTOCNO NOVO SARAJEVO,Oba spola,croats,102
2013,Broj,ISTOCNO NOVO SARAJEVO,M,croats,23
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,croats,79
2013,Broj,JEZERO,Oba spola,croats,6
2013,Broj,JEZERO,M,croats,4
2013,Broj,JEZERO,Ž,croats,2
2013,Broj,KALINOVIK,Oba spola,croats,8
2013,Broj,KALINOVIK,M,croats,2
2013,Broj,KALINOVIK,Ž,croats,6
2013,Broj,KNEZEVO,Oba spola,croats,24
2013,Broj,KNEZEVO,M,croats,5
2013,Broj,KNEZEVO,Ž,croats,19
2013,Broj,KOZARSKA DUBICA,Oba spola,croats,261
2013,Broj,KOZARSKA DUBICA,M,croats,79
2013,Broj,KOZARSKA DUBICA,Ž,croats,182
2013,Broj,KOSTAJNICA,Oba spola,croats,82
2013,Broj,KOSTAJNICA,M,croats,29
2013,Broj,KOSTAJNICA,Ž,croats,53
2013,Broj,KOTOR VAROS,Oba spola,croats,852
2013,Broj,KOTOR VAROS,M,croats,410
2013,Broj,KOTOR VAROS,Ž,croats,442
2013,Broj,KRUPA NA UNI,Oba spola,croats,2
2013,Broj,KRUPA NA UNI,Ž,croats,2
2013,Broj,LAKTASI,Oba spola,croats,500
2013,Broj,LAKTASI,M,croats,175
2013,Broj,LAKTASI,Ž,croats,325
2013,Broj,LOPARE,Oba spola,croats,48
2013,Broj,LOPARE,M,croats,9
2013,Broj,LOPARE,Ž,croats,39
2013,Broj,LJUBINJE,Oba spola,croats,10
2013,Broj,LJUBINJE,M,croats,3
2013,Broj,LJUBINJE,Ž,croats,7
2013,Broj,MILICI,Oba spola,croats,22
2013,Broj,MILICI,M,croats,7
2013,Broj,MILICI,Ž,croats,15
2013,Broj,MODRICA,Oba spola,croats,1396
2013,Broj,MODRICA,M,croats,662
2013,Broj,MODRICA,Ž,croats,734
2013,Broj,MRKONJIC GRAD,Oba spola,croats,148
2013,Broj,MRKONJIC GRAD,M,croats,60
2013,Broj,MRKONJIC GRAD,Ž,croats,88
2013,Broj,NEVESINJE,Oba spola,croats,27
2013,Broj,NEVESINJE,M,croats,9
2013,Broj,NEVESINJE,Ž,croats,18
2013,Broj,NOVI GRAD,Oba spola,croats,174
2013,Broj,NOVI GRAD,M,croats,58
2013,Broj,NOVI GRAD,Ž,croats,116
2013,Broj,NOVO GORAZDE,Oba spola,croats,2
2013,Broj,NOVO GORAZDE,M,croats,1
2013,Broj,NOVO GORAZDE,Ž,croats,1
2013,Broj,OSMACI,Oba spola,croats,7
2013,Broj,OSMACI,M,croats,1
2013,Broj,OSMACI,Ž,croats,6
2013,Broj,OSTRA LUKA,Oba spola,croats,149
2013,Broj,OSTRA LUKA,M,croats,74
2013,Broj,OSTRA LUKA,Ž,croats,75
2013,Broj,PALE,Oba spola,croats,126
2013,Broj,PALE,M,croats,37
2013,Broj,PALE,Ž,croats,89
2013,Broj,PELAGICEVO,Oba spola,croats,1182
2013,Broj,PELAGICEVO,M,croats,580
2013,Broj,PELAGICEVO,Ž,croats,602
2013,Broj,PETROVAC,Oba spola,croats,-
2013,Broj,PETROVAC,M,croats,-
2013,Broj,PETROVAC,Ž,croats,-
2013,Broj,PETROVO,Oba spola,croats,34
2013,Broj,PETROVO,M,croats,8
2013,Broj,PETROVO,Ž,croats,26
2013,Broj,PRIJEDOR,Oba spola,croats,1666
2013,Broj,PRIJEDOR,M,croats,679
2013,Broj,PRIJEDOR,Ž,croats,987
2013,Broj,PRNJAVOR,Oba spola,croats,423
2013,Broj,PRNJAVOR,M,croats,150
2013,Broj,PRNJAVOR,Ž,croats,273
2013,Broj,RIBNIK,Oba spola,croats,11
2013,Broj,RIBNIK,M,croats,4
2013,Broj,RIBNIK,Ž,croats,7
2013,Broj,ROGATICA,Oba spola,croats,18
2013,Broj,ROGATICA,M,croats,2
2013,Broj,ROGATICA,Ž,croats,16
2013,Broj,RUDO,Oba spola,croats,7
2013,Broj,RUDO,M,croats,6
2013,Broj,RUDO,Ž,croats,1
2013,Broj,SOKOLAC,Oba spola,croats,28
2013,Broj,SOKOLAC,M,croats,8
2013,Broj,SOKOLAC,Ž,croats,20
2013,Broj,SRBAC,Oba spola,croats,128
2013,Broj,SRBAC,M,croats,21
2013,Broj,SRBAC,Ž,croats,107
2013,Broj,SREBRENICA,Oba spola,croats,14
2013,Broj,SREBRENICA,M,croats,6
2013,Broj,SREBRENICA,Ž,croats,8
2013,Broj,TESLIC,Oba spola,croats,1346
2013,Broj,TESLIC,M,croats,581
2013,Broj,TESLIC,Ž,croats,765
2013,Broj,TREBINJE,Oba spola,croats,295
2013,Broj,TREBINJE,M,croats,99
2013,Broj,TREBINJE,Ž,croats,196
2013,Broj,TRNOVO,Oba spola,croats,15
2013,Broj,TRNOVO,M,croats,3
2013,Broj,TRNOVO,Ž,croats,12
2013,Broj,UGLJEVIK,Oba spola,croats,42
2013,Broj,UGLJEVIK,M,croats,8
2013,Broj,UGLJEVIK,Ž,croats,34
2013,Broj,FOCA,Oba spola,croats,52
2013,Broj,FOCA,M,croats,16
2013,Broj,FOCA,Ž,croats,36
2013,Broj,HAN PIJESAK,Oba spola,croats,7
2013,Broj,HAN PIJESAK,M,croats,1
2013,Broj,HAN PIJESAK,Ž,croats,6
2013,Broj,CAJNICE,Oba spola,croats,6
2013,Broj,CAJNICE,M,croats,1
2013,Broj,CAJNICE,Ž,croats,5
2013,Broj,CELINAC,Oba spola,croats,48
2013,Broj,CELINAC,M,croats,11
2013,Broj,CELINAC,Ž,croats,37
2013,Broj,SAMAC,Oba spola,croats,2176
2013,Broj,SAMAC,M,croats,1011
2013,Broj,SAMAC,Ž,croats,1165
2013,Broj,SEKOVICI,Oba spola,croats,8
2013,Broj,SEKOVICI,M,croats,2
2013,Broj,SEKOVICI,Ž,croats,6
2013,Broj,SIPOVO,Oba spola,croats,26
2013,Broj,SIPOVO,M,croats,7
2013,Broj,SIPOVO,Ž,croats,19
2013,Broj,REPUBLIKA SRPSKA,Oba spola,serbs,970857
2013,Broj,REPUBLIKA SRPSKA,M,serbs,477334
2013,Broj,REPUBLIKA SRPSKA,Ž,serbs,493523
2013,Broj,BANJA LUKA,Oba spola,serbs,162057
2013,Broj,BANJA LUKA,M,serbs,78827
2013,Broj,BANJA LUKA,Ž,serbs,83230
2013,Broj,BERKOVICI,Oba spola,serbs,1873
2013,Broj,BERKOVICI,M,serbs,943
2013,Broj,BERKOVICI,Ž,serbs,930
2013,Broj,BIJELJINA,Oba spola,serbs,89474
2013,Broj,BIJELJINA,M,serbs,43861
2013,Broj,BIJELJINA,Ž,serbs,45613
2013,Broj,BILECA,Oba spola,serbs,10447
2013,Broj,BILECA,M,serbs,5276
2013,Broj,BILECA,Ž,serbs,5171
2013,Broj,BRATUNAC,Oba spola,serbs,11897
2013,Broj,BRATUNAC,M,serbs,5915
2013,Broj,BRATUNAC,Ž,serbs,5982
2013,Broj,BROD,Oba spola,serbs,11065
2013,Broj,BROD,M,serbs,5486
2013,Broj,BROD,Ž,serbs,5579
2013,Broj,VISEGRAD,Oba spola,serbs,8942
2013,Broj,VISEGRAD,M,serbs,4337
2013,Broj,VISEGRAD,Ž,serbs,4605
2013,Broj,VLASENICA,Oba spola,serbs,7190
2013,Broj,VLASENICA,M,serbs,3505
2013,Broj,VLASENICA,Ž,serbs,3685
2013,Broj,VUKOSAVLJE,Oba spola,serbs,1448
2013,Broj,VUKOSAVLJE,M,serbs,720
2013,Broj,VUKOSAVLJE,Ž,serbs,728
2013,Broj,GACKO,Oba spola,serbs,8316
2013,Broj,GACKO,M,serbs,4211
2013,Broj,GACKO,Ž,serbs,4105
2013,Broj,GRADISKA,Oba spola,serbs,40707
2013,Broj,GRADISKA,M,serbs,19960
2013,Broj,GRADISKA,Ž,serbs,20747
2013,Broj,DERVENTA,Oba spola,serbs,21495
2013,Broj,DERVENTA,M,serbs,10524
2013,Broj,DERVENTA,Ž,serbs,10971
2013,Broj,DOBOJ,Oba spola,serbs,50968
2013,Broj,DOBOJ,M,serbs,24968
2013,Broj,DOBOJ,Ž,serbs,26000
2013,Broj,DONJI ZABAR,Oba spola,serbs,2658
2013,Broj,DONJI ZABAR,M,serbs,1352
2013,Broj,DONJI ZABAR,Ž,serbs,1306
2013,Broj,ZVORNIK,Oba spola,serbs,37242
2013,Broj,ZVORNIK,M,serbs,18452
2013,Broj,ZVORNIK,Ž,serbs,18790
2013,Broj,ISTOCNA ILIDZA,Oba spola,serbs,13455
2013,Broj,ISTOCNA ILIDZA,M,serbs,6486
2013,Broj,ISTOCNA ILIDZA,Ž,serbs,6969
2013,Broj,ISTOCNI DRVAR,Oba spola,serbs,65
2013,Broj,ISTOCNI DRVAR,M,serbs,44
2013,Broj,ISTOCNI DRVAR,Ž,serbs,21
2013,Broj,ISTOCNI MOSTAR,Oba spola,serbs,153
2013,Broj,ISTOCNI MOSTAR,M,serbs,84
2013,Broj,ISTOCNI MOSTAR,Ž,serbs,69
2013,Broj,ISTOCNI STARI GRAD,Oba spola,serbs,1059
2013,Broj,ISTOCNI STARI GRAD,M,serbs,519
2013,Broj,ISTOCNI STARI GRAD,Ž,serbs,540
2013,Broj,ISTOCNO NOVO SARAJEVO,Oba spola,serbs,10028
2013,Broj,ISTOCNO NOVO SARAJEVO,M,serbs,4801
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,serbs,5227
2013,Broj,JEZERO,Oba spola,serbs,779
2013,Broj,JEZERO,M,serbs,410
2013,Broj,JEZERO,Ž,serbs,369
2013,Broj,KALINOVIK,Oba spola,serbs,1895
2013,Broj,KALINOVIK,M,serbs,920
2013,Broj,KALINOVIK,Ž,serbs,975
2013,Broj,KNEZEVO,Oba spola,serbs,8886
2013,Broj,KNEZEVO,M,serbs,4414
2013,Broj,KNEZEVO,Ž,serbs,4472
2013,Broj,KOZARSKA DUBICA,Oba spola,serbs,18144
2013,Broj,KOZARSKA DUBICA,M,serbs,8939
2013,Broj,KOZARSKA DUBICA,Ž,serbs,9205
2013,Broj,KOSTAJNICA,Oba spola,serbs,4177
2013,Broj,KOSTAJNICA,M,serbs,2077
2013,Broj,KOSTAJNICA,Ž,serbs,2100
2013,Broj,KOTOR VAROS,Oba spola,serbs,12730
2013,Broj,KOTOR VAROS,M,serbs,6305
2013,Broj,KOTOR VAROS,Ž,serbs,6425
2013,Broj,KRUPA NA UNI,Oba spola,serbs,1555
2013,Broj,KRUPA NA UNI,M,serbs,840
2013,Broj,KRUPA NA UNI,Ž,serbs,715
2013,Broj,KUPRES,Oba spola,serbs,292
2013,Broj,KUPRES,M,serbs,156
2013,Broj,KUPRES,Ž,serbs,136
2013,Broj,LAKTASI,Oba spola,serbs,32761
2013,Broj,LAKTASI,M,serbs,16275
2013,Broj,LAKTASI,Ž,serbs,16486
2013,Broj,LOPARE,Oba spola,serbs,13267
2013,Broj,LOPARE,M,serbs,6695
2013,Broj,LOPARE,Ž,serbs,6572
2013,Broj,LJUBINJE,Oba spola,serbs,3280
2013,Broj,LJUBINJE,M,serbs,1615
2013,Broj,LJUBINJE,Ž,serbs,1665
2013,Broj,MILICI,Oba spola,serbs,6857
2013,Broj,MILICI,M,serbs,3486
2013,Broj,MILICI,Ž,serbs,3371
2013,Broj,MODRICA,Oba spola,serbs,19530
2013,Broj,MODRICA,M,serbs,9611
2013,Broj,MODRICA,Ž,serbs,9919
2013,Broj,MRKONJIC GRAD,Oba spola,serbs,15340
2013,Broj,MRKONJIC GRAD,M,serbs,7388
2013,Broj,MRKONJIC GRAD,Ž,serbs,7952
2013,Broj,NEVESINJE,Oba spola,serbs,11964
2013,Broj,NEVESINJE,M,serbs,5951
2013,Broj,NEVESINJE,Ž,serbs,6013
2013,Broj,NOVI GRAD,Oba spola,serbs,19491
2013,Broj,NOVI GRAD,M,serbs,9747
2013,Broj,NOVI GRAD,Ž,serbs,9744
2013,Broj,NOVO GORAZDE,Oba spola,serbs,1561
2013,Broj,NOVO GORAZDE,M,serbs,821
2013,Broj,NOVO GORAZDE,Ž,serbs,740
2013,Broj,OSMACI,Oba spola,serbs,2852
2013,Broj,OSMACI,M,serbs,1450
2013,Broj,OSMACI,Ž,serbs,1402
2013,Broj,OSTRA LUKA,Oba spola,serbs,2510
2013,Broj,OSTRA LUKA,M,serbs,1296
2013,Broj,OSTRA LUKA,Ž,serbs,1214
2013,Broj,PALE,Oba spola,serbs,19932
2013,Broj,PALE,M,serbs,9561
2013,Broj,PALE,Ž,serbs,10371
2013,Broj,PELAGICEVO,Oba spola,serbs,3146
2013,Broj,PELAGICEVO,M,serbs,1563
2013,Broj,PELAGICEVO,Ž,serbs,1583
2013,Broj,PETROVAC,Oba spola,serbs,351
2013,Broj,PETROVAC,M,serbs,168
2013,Broj,PETROVAC,Ž,serbs,183
2013,Broj,PETROVO,Oba spola,serbs,6222
2013,Broj,PETROVO,M,serbs,3002
2013,Broj,PETROVO,Ž,serbs,3220
2013,Broj,PRIJEDOR,Oba spola,serbs,54365
2013,Broj,PRIJEDOR,M,serbs,26834
2013,Broj,PRIJEDOR,Ž,serbs,27531
2013,Broj,PRNJAVOR,Oba spola,serbs,29478
2013,Broj,PRNJAVOR,M,serbs,14352
2013,Broj,PRNJAVOR,Ž,serbs,15126
2013,Broj,RIBNIK,Oba spola,serbs,5825
2013,Broj,RIBNIK,M,serbs,2891
2013,Broj,RIBNIK,Ž,serbs,2934
2013,Broj,ROGATICA,Oba spola,serbs,9217
2013,Broj,ROGATICA,M,serbs,4502
2013,Broj,ROGATICA,Ž,serbs,4715
2013,Broj,RUDO,Oba spola,serbs,6963
2013,Broj,RUDO,M,serbs,3517
2013,Broj,RUDO,Ž,serbs,3446
2013,Broj,SOKOLAC,Oba spola,serbs,10894
2013,Broj,SOKOLAC,M,serbs,5357
2013,Broj,SOKOLAC,Ž,serbs,5537
2013,Broj,SRBAC,Oba spola,serbs,16013
2013,Broj,SRBAC,M,serbs,7888
2013,Broj,SRBAC,Ž,serbs,8125
2013,Broj,SREBRENICA,Oba spola,serbs,5467
2013,Broj,SREBRENICA,M,serbs,2743
2013,Broj,SREBRENICA,Ž,serbs,2724
2013,Broj,TESLIC,Oba spola,serbs,28166
2013,Broj,TESLIC,M,serbs,13545
2013,Broj,TESLIC,Ž,serbs,14621
2013,Broj,TREBINJE,Oba spola,serbs,26484
2013,Broj,TREBINJE,M,serbs,12943
2013,Broj,TREBINJE,Ž,serbs,13541
2013,Broj,TRNOVO,Oba spola,serbs,1131
2013,Broj,TRNOVO,M,serbs,534
2013,Broj,TRNOVO,Ž,serbs,597
2013,Broj,UGLJEVIK,Oba spola,serbs,13007
2013,Broj,UGLJEVIK,M,serbs,6606
2013,Broj,UGLJEVIK,Ž,serbs,6401
2013,Broj,FOCA,Oba spola,serbs,16157
2013,Broj,FOCA,M,serbs,8133
2013,Broj,FOCA,Ž,serbs,8024
2013,Broj,HAN PIJESAK,Oba spola,serbs,2994
2013,Broj,HAN PIJESAK,M,serbs,1412
2013,Broj,HAN PIJESAK,Ž,serbs,1582
2013,Broj,CAJNICE,Oba spola,serbs,3806
2013,Broj,CAJNICE,M,serbs,1891
2013,Broj,CAJNICE,Ž,serbs,1915
2013,Broj,CELINAC,Oba spola,serbs,14508
2013,Broj,CELINAC,M,serbs,7194
2013,Broj,CELINAC,Ž,serbs,7314
2013,Broj,SAMAC,Oba spola,serbs,12832
2013,Broj,SAMAC,M,serbs,6277
2013,Broj,SAMAC,Ž,serbs,6555
2013,Broj,SEKOVICI,Oba spola,serbs,6187
2013,Broj,SEKOVICI,M,serbs,3038
2013,Broj,SEKOVICI,Ž,serbs,3149
2013,Broj,SIPOVO,Oba spola,serbs,9302
2013,Broj,SIPOVO,M,serbs,4716
2013,Broj,SIPOVO,Ž,serbs,4586
2013,Broj,REPUBLIKA SRPSKA,Oba spola,Drugo,14641
2013,Broj,REPUBLIKA SRPSKA,M,Drugo,7207
2013,Broj,REPUBLIKA SRPSKA,Ž,Drugo,7434
2013,Broj,BANJA LUKA,Oba spola,Drugo,3324
2013,Broj,BANJA LUKA,M,Drugo,1617
2013,Broj,BANJA LUKA,Ž,Drugo,1707
2013,Broj,BERKOVICI,Oba spola,Drugo,1
2013,Broj,BERKOVICI,M,Drugo,1
2013,Broj,BIJELJINA,Oba spola,Drugo,1478
2013,Broj,BIJELJINA,M,Drugo,717
2013,Broj,BIJELJINA,Ž,Drugo,761
2013,Broj,BILECA,Oba spola,Drugo,72
2013,Broj,BILECA,M,Drugo,38
2013,Broj,BILECA,Ž,Drugo,34
2013,Broj,BRATUNAC,Oba spola,Drugo,79
2013,Broj,BRATUNAC,M,Drugo,45
2013,Broj,BRATUNAC,Ž,Drugo,34
2013,Broj,BROD,Oba spola,Drugo,151
2013,Broj,BROD,M,Drugo,69
2013,Broj,BROD,Ž,Drugo,82
2013,Broj,VISEGRAD,Oba spola,Drugo,53
2013,Broj,VISEGRAD,M,Drugo,26
2013,Broj,VISEGRAD,Ž,Drugo,27
2013,Broj,VLASENICA,Oba spola,Drugo,29
2013,Broj,VLASENICA,M,Drugo,13
2013,Broj,VLASENICA,Ž,Drugo,16
2013,Broj,VUKOSAVLJE,Oba spola,Drugo,146
2013,Broj,VUKOSAVLJE,M,Drugo,81
2013,Broj,VUKOSAVLJE,Ž,Drugo,65
2013,Broj,GACKO,Oba spola,Drugo,40
2013,Broj,GACKO,M,Drugo,27
2013,Broj,GACKO,Ž,Drugo,13
2013,Broj,GRADISKA,Oba spola,Drugo,970
2013,Broj,GRADISKA,M,Drugo,468
2013,Broj,GRADISKA,Ž,Drugo,502
2013,Broj,DERVENTA,Oba spola,Drugo,264
2013,Broj,DERVENTA,M,Drugo,116
2013,Broj,DERVENTA,Ž,Drugo,148
2013,Broj,DOBOJ,Oba spola,Drugo,949
2013,Broj,DOBOJ,M,Drugo,486
2013,Broj,DOBOJ,Ž,Drugo,463
2013,Broj,DONJI ZABAR,Oba spola,Drugo,9
2013,Broj,DONJI ZABAR,M,Drugo,1
2013,Broj,DONJI ZABAR,Ž,Drugo,8
2013,Broj,ZVORNIK,Oba spola,Drugo,120
2013,Broj,ZVORNIK,M,Drugo,55
2013,Broj,ZVORNIK,Ž,Drugo,65
2013,Broj,ISTOCNA ILIDZA,Oba spola,Drugo,96
2013,Broj,ISTOCNA ILIDZA,M,Drugo,44
2013,Broj,ISTOCNA ILIDZA,Ž,Drugo,52
2013,Broj,ISTOCNI STARI GRAD,Oba spola,Drugo,7
2013,Broj,ISTOCNI STARI GRAD,M,Drugo,5
2013,Broj,ISTOCNI STARI GRAD,Ž,Drugo,2
2013,Broj,ISTOCNO NOVO SARAJEVO,Oba spola,Drugo,163
2013,Broj,ISTOCNO NOVO SARAJEVO,M,Drugo,72
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,Drugo,91
2013,Broj,JEZERO,Oba spola,Drugo,1
2013,Broj,JEZERO,M,Drugo,1
2013,Broj,KALINOVIK,Oba spola,Drugo,15
2013,Broj,KALINOVIK,M,Drugo,8
2013,Broj,KALINOVIK,Ž,Drugo,7
2013,Broj,KNEZEVO,Oba spola,Drugo,37
2013,Broj,KNEZEVO,M,Drugo,21
2013,Broj,KNEZEVO,Ž,Drugo,16
2013,Broj,KOZARSKA DUBICA,Oba spola,Drugo,219
2013,Broj,KOZARSKA DUBICA,M,Drugo,102
2013,Broj,KOZARSKA DUBICA,Ž,Drugo,117
2013,Broj,KOSTAJNICA,Oba spola,Drugo,42
2013,Broj,KOSTAJNICA,M,Drugo,20
2013,Broj,KOSTAJNICA,Ž,Drugo,22
2013,Broj,KOTOR VAROS,Oba spola,Drugo,129
2013,Broj,KOTOR VAROS,M,Drugo,63
2013,Broj,KOTOR VAROS,Ž,Drugo,66
2013,Broj,LAKTASI,Oba spola,Drugo,562
2013,Broj,LAKTASI,M,Drugo,285
2013,Broj,LAKTASI,Ž,Drugo,277
2013,Broj,LOPARE,Oba spola,Drugo,31
2013,Broj,LOPARE,M,Drugo,16
2013,Broj,LOPARE,Ž,Drugo,15
2013,Broj,LJUBINJE,Oba spola,Drugo,13
2013,Broj,LJUBINJE,M,Drugo,7
2013,Broj,LJUBINJE,Ž,Drugo,6
2013,Broj,MILICI,Oba spola,Drugo,19
2013,Broj,MILICI,M,Drugo,7
2013,Broj,MILICI,Ž,Drugo,12
2013,Broj,MODRICA,Oba spola,Drugo,412
2013,Broj,MODRICA,M,Drugo,207
2013,Broj,MODRICA,Ž,Drugo,205
2013,Broj,MRKONJIC GRAD,Oba spola,Drugo,37
2013,Broj,MRKONJIC GRAD,M,Drugo,17
2013,Broj,MRKONJIC GRAD,Ž,Drugo,20
2013,Broj,NEVESINJE,Oba spola,Drugo,18
2013,Broj,NEVESINJE,M,Drugo,5
2013,Broj,NEVESINJE,Ž,Drugo,13
2013,Broj,NOVI GRAD,Oba spola,Drugo,200
2013,Broj,NOVI GRAD,M,Drugo,100
2013,Broj,NOVI GRAD,Ž,Drugo,100
2013,Broj,NOVO GORAZDE,Oba spola,Drugo,22
2013,Broj,NOVO GORAZDE,M,Drugo,11
2013,Broj,NOVO GORAZDE,Ž,Drugo,11
2013,Broj,OSMACI,Oba spola,Drugo,5
2013,Broj,OSMACI,M,Drugo,2
2013,Broj,OSMACI,Ž,Drugo,3
2013,Broj,OSTRA LUKA,Oba spola,Drugo,8
2013,Broj,OSTRA LUKA,M,Drugo,3
2013,Broj,OSTRA LUKA,Ž,Drugo,5
2013,Broj,PALE,Oba spola,Drugo,70
2013,Broj,PALE,M,Drugo,31
2013,Broj,PALE,Ž,Drugo,39
2013,Broj,PELAGICEVO,Oba spola,Drugo,9
2013,Broj,PELAGICEVO,M,Drugo,4
2013,Broj,PELAGICEVO,Ž,Drugo,5
2013,Broj,PETROVAC,Oba spola,Drugo,3
2013,Broj,PETROVAC,M,Drugo,1
